Lista Non Market ,URL,Market ?,Stato
MarketEnabler ,http://me.rac.su/,n,attivo
Appstorm,http://android.appstorm.net/ ,n,attivo
AppStorehp,http://www.mobiledevhq.com/?utm_medium=AppStoreHQ ,n,attivo
apps maxistore,http://apps.maxistore.com.br,n,attivo
iPodTouchHack,http://ipodtouch.forumcommunity.net/,n,attivo
wwTechTeam,http://www.wwtechteam.com/,n,attivo
download.cnet.com,http://download.cnet.com/android/,n,attivo
mobyaffiliates.com,http://www.mobyaffiliates.com/blog/mobile-app-stores-list/,n,attivo
androidmarkets.com,http://androidmarkets.com/,n,attivo
www.digitaltrends.com,http://www.digitaltrends.com/mobile/android-app-stores/#:xQb-MUI3gQ3oVA,n,attivo
code.tutsplus.com,http://code.tutsplus.com/articles/10-alternative-android-app-stores--cms-20999,n,attivo
www.gizchina.com,http://www.gizchina.com/2012/08/14/20-ways-to-get-free-android-apps-downloads/,n,attivo
thenextweb.com,http://thenextweb.com/apps/2011/01/09/6-alternatives-to-the-android-market/#gref,n,attivo
www.apptamin.com,http://www.apptamin.com/blog/app-developer-tools/,n,attivo
androidadvices.com,http://androidadvices.com/download-android-market-version-3312-apk-tablet-support/,n,attivo
www.androidauthority.com,http://www.androidauthority.com/best-android-tablet-apps-267476/,n,attivo
www.androiday.com,http://www.androiday.com/le-migliori-alternative-a-google-play-per-scaricare-gratis-le-app/,n,attivo
thedroidreview.com,http://thedroidreview.com/17-android-app-store-alternatives-to-google-play-store-809,n,attivo
joyofandroid.com,http://joyofandroid.com/android-app-store-alternatives/,n,attivo
www.netzwelt.de,http://www.netzwelt.de/news/149741-android-6-alternativen-google-play.html,n,attivo
www.zendesk.com,https://www.zendesk.com/apps/,n,attivo
appadvice.com,http://appadvice.com/apps-gone-free,n,attivo
www.andyroid.net,http://www.andyroid.net/,n,attivo
www.tuttoandroid.net,http://www.tuttoandroid.net/android/le-sei-alternative-al-play-store-disponibili-per-android-84736/,n,attivo
www.giga.de,http://www.giga.de/apps/google-play-store/specials/android-appstores-die-besten-play-store-alternativen/,n,attivo
symfony-gu.ru,http://symfony-gu.ru/android-app-market-alternative.html,n,attivo
beste-apps.chip.de,http://beste-apps.chip.de/android/app/1mobile-market-android-app,n,attivo
getandroidstuff.com,http://getandroidstuff.com/6-best-playstore-alternative-app-market-for-android/,n,attivo
it.softonic.com,http://it.softonic.com/s/alternative-di-play-store:android,n,attivo
www.appfutura.com,https://www.appfutura.com/blog/alternative-app-stores/,n,attivo
